user_parameters.immune_apoptosis_rate,user_parameters.immune_migration_bias,user_parameters.immune_kill_rate,user_parameters.immune_attachment_lifetime,user_parameters.immune_attachment_rate,user_parameters.oncoprotein_threshold
6.94e-06,0.6,0.505,10,0.1338,0.1
0.0006,0.3,1,20,0.3812,1
6.94e-06,0.7,0.3812,40,0.505,0.1
0.0001,0.7,0.7525,20,0.505,0.2125
6.94e-06,0.6,0.8762,10,0.7525,0.325
6.94e-06,0.2,0.7525,60,1,0.1
6.94e-06,0.6,0.1338,80,1,0.2125
0.0001,0.8,0.1338,10,1,0.1
6.94e-06,0.6,0.8762,80,0.2575,0.2125
6.94e-06,0.5,1,10,0.505,0.325
6.94e-06,0.5,0.2575,40,0.8762,0.325
6.94e-06,0.7,0.8762,60,0.7525,0.1
6.94e-06,0.1,1,50,1,0.1
6.94e-06,0.1,1,90,1,0.1
6.94e-06,0.2,0.13375,30,0.2575,0.2125
6.94e-06,0.2,0.13375,40,0.87625,0.2125
6.94e-06,0.2,0.13375,50,0.13375,0.55
6.94e-06,0.2,0.13375,50,1,0.8875
6.94e-06,0.2,0.13375,90,0.62875,0.6625
6.94e-06,0.2,0.2575,10,0.2575,0.55
6.94e-06,0.2,0.2575,70,0.505,0.8875
6.94e-06,0.2,0.2575,80,0.87625,0.6625
6.94e-06,0.2,0.38125,70,0.87625,0.8875
6.94e-06,0.2,0.505,40,0.13375,0.325
6.94e-06,0.2,0.505,80,0.2575,0.775
6.94e-06,0.2,0.62875,10,0.7525,0.775
6.94e-06,0.2,0.62875,40,0.38125,0.2125
6.94e-06,0.2,0.7525,50,0.38125,0.8875
6.94e-06,0.2,0.7525,50,0.505,0.775
6.94e-06,0.2,0.7525,60,1,0.1
6.94e-06,0.2,0.7525,80,0.62875,0.6625
6.94e-06,0.2,0.87625,90,0.2575,0.55
6.94e-06,0.3,0.01,70,0.7525,0.1
6.94e-06,0.3,0.13375,90,1,0.775
6.94e-06,0.3,0.38125,40,1,0.8875
6.94e-06,0.3,0.38125,70,0.62875,0.8875
6.94e-06,0.3,0.62875,40,0.2575,0.6625
6.94e-06,0.3,0.7525,70,0.505,0.6625
6.94e-06,0.3,0.87625,20,0.62875,0.8875
6.94e-06,0.3,0.87625,80,1,0.8875
6.94e-06,0.3,1,40,0.62875,0.8875
6.94e-06,0.3,1,60,0.2575,0.8875
6.94e-06,0.4,0.01,60,0.38125,0.325
6.94e-06,0.4,0.01,80,0.7525,0.4375
6.94e-06,0.4,0.13375,20,0.13375,0.325
6.94e-06,0.4,0.13375,20,0.38125,0.325
6.94e-06,0.4,0.87625,70,0.13375,0.775
6.94e-06,0.4,1,50,0.38125,0.4375
6.94e-06,0.5,0.01,10,1,0.1
6.94e-06,0.5,0.01,50,0.505,0.1
6.94e-06,0.5,0.01,50,1,0.1
6.94e-06,0.5,0.01,50,1,0.55
6.94e-06,0.5,0.01,90,0.505,0.1
6.94e-06,0.5,0.01,90,0.505,0.55
6.94e-06,0.5,0.01,90,1,0.1
6.94e-06,0.5,0.01,90,1,0.55
6.94e-06,0.5,0.2575,40,0.87625,0.325
6.94e-06,0.5,0.2575,70,0.62875,0.775
6.94e-06,0.5,0.2575,90,0.2575,0.4375
6.94e-06,0.5,0.505,10,0.505,0.1
6.94e-06,0.5,0.505,10,0.505,0.55
6.94e-06,0.5,0.505,10,1,0.1
6.94e-06,0.5,0.505,10,1,0.55
6.94e-06,0.5,0.505,50,0.505,0.1
6.94e-06,0.5,0.505,50,0.505,0.55
6.94e-06,0.5,0.505,50,1,0.1
6.94e-06,0.5,0.505,50,1,0.55
6.94e-06,0.5,0.505,90,0.505,0.1
6.94e-06,0.5,0.505,90,0.505,0.55
6.94e-06,0.5,0.505,90,1,0.1
6.94e-06,0.5,0.505,90,1,0.55
6.94e-06,0.5,0.62875,20,0.87625,0.6625
6.94e-06,0.5,0.62875,30,0.62875,0.2125
6.94e-06,0.5,0.7525,40,0.38125,0.6625
6.94e-06,0.5,1,10,0.505,0.1
6.94e-06,0.5,1,10,0.505,0.325
6.94e-06,0.5,1,10,0.505,0.55
6.94e-06,0.5,1,10,1,0.1
6.94e-06,0.5,1,10,1,0.55
6.94e-06,0.5,1,50,0.505,0.1
6.94e-06,0.5,1,50,0.505,0.55
6.94e-06,0.5,1,50,1,0.1
6.94e-06,0.5,1,50,1,0.55
6.94e-06,0.5,1,70,0.38125,0.775
6.94e-06,0.5,1,90,0.505,0.1
6.94e-06,0.5,1,90,0.505,0.55
6.94e-06,0.5,1,90,1,0.1
6.94e-06,0.5,1,90,1,0.55
6.94e-06,0.6,0.01,70,0.7525,0.55
6.94e-06,0.6,0.13375,80,1,0.2125
6.94e-06,0.6,0.38125,70,0.87625,0.775
6.94e-06,0.6,0.505,10,0.13375,0.1
6.94e-06,0.6,0.62875,40,0.38125,0.55
6.94e-06,0.6,0.87625,10,0.7525,0.325
6.94e-06,0.6,0.87625,80,0.2575,0.2125
6.94e-06,0.6,1,10,0.2575,0.775
6.94e-06,0.7,0.01,60,0.38125,0.2125
6.94e-06,0.7,0.2575,70,0.2575,0.775
6.94e-06,0.7,0.2575,70,1,0.775
6.94e-06,0.7,0.38125,40,0.505,0.1
6.94e-06,0.7,0.62875,10,1,0.2125
6.94e-06,0.7,0.62875,90,0.13375,0.775
6.94e-06,0.7,0.87625,60,0.7525,0.1
6.94e-06,0.8,0.01,30,0.505,0.1
6.94e-06,0.8,0.13375,20,0.62875,0.6625
6.94e-06,0.8,0.505,10,0.2575,0.55
6.94e-06,0.8,0.62875,30,0.13375,0.775
6.94e-06,0.8,0.87625,20,1,0.775
6.94e-06,0.9,0.01,10,1,0.1
6.94e-06,0.9,0.01,50,0.505,0.1
6.94e-06,0.9,0.01,50,1,0.1
6.94e-06,0.9,0.01,50,1,0.55
6.94e-06,0.9,0.01,60,0.62875,0.4375
6.94e-06,0.9,0.01,90,0.505,0.1
6.94e-06,0.9,0.01,90,0.505,0.55
6.94e-06,0.9,0.01,90,1,0.1
6.94e-06,0.9,0.01,90,1,0.55
6.94e-06,0.9,0.13375,70,0.62875,0.6625
6.94e-06,0.9,0.38125,50,0.2575,0.6625
6.94e-06,0.9,0.505,10,0.505,0.1
6.94e-06,0.9,0.505,10,0.505,0.55
6.94e-06,0.9,0.505,10,1,0.1
6.94e-06,0.9,0.505,10,1,0.55
6.94e-06,0.9,0.505,30,1,0.775
6.94e-06,0.9,0.505,50,0.505,0.55
6.94e-06,0.9,0.505,50,1,0.1
6.94e-06,0.9,0.505,50,1,0.55
